sample_type,province,location,season,lon,lat,antibiotic,antibiotic_class,median_concentration,concentration_unit,sample_year,reference_number
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Trimethoprim,Diaminopyrimidines,1.9,ng/g,2015,128
sediment,Shaanxi,Shaanxi Weihe river,NA,109.075634,34.466554,Chlortetracycline,Tetracyclines,4.96,ng/g,NA,143
sediment,Shaanxi,Shaanxi Weihe river,NA,109.075634,34.466554,Mecillinam,Beta-lactams,1.7,ng/g,NA,143
sediment,Shaanxi,Shaanxi Weihe river,NA,109.075634,34.466554,Oxytetracycline,Tetracyclines,16.13,ng/g,NA,143
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Cefazolin,Beta-lactams,43,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Chloramphenicol,Phenicols,2.79,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Chlortetracycline,Tetracyclines,3.38,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Ciprofloxacin,Fluoroquinolones,17.3,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Erythromycin-H2O,Macrolides,50.9,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Norfloxacin,Fluoroquinolones,111,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Oxytetracycline,Tetracyclines,456,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Roxithromycin,Macrolides,27.9,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Sulfadiazine,Sulfonamides,2.58,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Sulfadimidine,Sulfonamides,36.5,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Tetracycline,Tetracyclines,128,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,3,109.016667,34.347222,Trimethoprim,Diaminopyrimidines,14.7,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,7,109.016667,34.347222,Chloramphenicol,Phenicols,5.05,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,7,109.016667,34.347222,Ciprofloxacin,Fluoroquinolones,62.5,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,7,109.016667,34.347222,Erythromycin-H2O,Macrolides,10.2,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,7,109.016667,34.347222,Norfloxacin,Fluoroquinolones,64.2,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,7,109.016667,34.347222,Oxytetracycline,Tetracyclines,162,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,7,109.016667,34.347222,Roxithromycin,Macrolides,2.82,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,7,109.016667,34.347222,Sulfadiazine,Sulfonamides,5,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,7,109.016667,34.347222,Sulfadimidine,Sulfonamides,413,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,7,109.016667,34.347222,Tetracycline,Tetracyclines,40.8,ng/g,2017,136
sediment,Shaanxi,Shaanxi Xian Ba river,7,109.016667,34.347222,Trimethoprim,Diaminopyrimidines,1.24,ng/g,2017,136
sediment,Shandong,Shandong,7,117.020359,36.66853,Chloramphenicol,Phenicols,2.8683829787234045,ng/g,2015,125
