"x","antibiotic_subtype","antibiotic_type","location","studied_system","treatment_system","scale_of_experiment","type_of_sample","antibiotic_detection_method","antibiotic_concentration_residue_system_mg_kg_water_system_mg_l","test_method_of_ar_gs","target_ar_gs_q_pcr_or_detected_ar_gs_metagenomics","absolute_abundance_residue_system_copies_mg_water_system_copies_m_l","relative_abundance_copies_16s","year","source_id","source"
51,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Biological contact reactor","Full-scale","Raw wastewater","High performance liquid chromatography-tandem mass spectrometry(HPLC-MS/MS)","1074.90-1479.76","Quantitative Real-time PCR","9tet","1.4×10^6","7.1×10^-1",2012,"S015","Liu, M., Zhang, Y., Yang, M., Tian, Z., Ren, L., Zhang, S., 2012. Abundance and Distribution of Tetracycline Resistance Genes and Mobile Elements in an Oxytetracycline Production Wastewater Treatment System. Environ. Sci. Technol. 46, 7551–7557. https://doi.org/10.1021/es301145m"
52,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Biological contact reactor","Full-scale","Influent","High performance liquid chromatography-tandem mass spectrometry(HPLC-MS/MS)","1.14-12.36","Quantitative Real-time PCR","9tet","7.0×10^9","3.2",2012,"S015","Liu, M., Zhang, Y., Yang, M., Tian, Z., Ren, L., Zhang, S., 2012. Abundance and Distribution of Tetracycline Resistance Genes and Mobile Elements in an Oxytetracycline Production Wastewater Treatment System. Environ. Sci. Technol. 46, 7551–7557. https://doi.org/10.1021/es301145m"
53,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Biological contact reactor","Full-scale","Secondary effluent","High performance liquid chromatography-tandem mass spectrometry(HPLC-MS/MS)","0.36-2.35","Quantitative Real-time PCR","9tet","1.8×10^8","1.4",2012,"S015","Liu, M., Zhang, Y., Yang, M., Tian, Z., Ren, L., Zhang, S., 2012. Abundance and Distribution of Tetracycline Resistance Genes and Mobile Elements in an Oxytetracycline Production Wastewater Treatment System. Environ. Sci. Technol. 46, 7551–7557. https://doi.org/10.1021/es301145m"
54,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Biological contact reactor","Full-scale","Sludge","High performance liquid chromatography-tandem mass spectrometry(HPLC-MS/MS)","40.7-120.2mg/kg dry weight","Quantitative Real-time PCR","9tet","7.0×10^9-1.4×10^10","1.6-1.7",2012,"S015","Liu, M., Zhang, Y., Yang, M., Tian, Z., Ren, L., Zhang, S., 2012. Abundance and Distribution of Tetracycline Resistance Genes and Mobile Elements in an Oxytetracycline Production Wastewater Treatment System. Environ. Sci. Technol. 46, 7551–7557. https://doi.org/10.1021/es301145m"
55,"Oxytetracycline","Tetracyclines","Inner Mongolia Autonomous Region, China","Solid waste","Aerobic composting","Laboratory scale","Mixed residue","High performance liquid chromatography(HPLC)","1012.99","","","","",2021,"S016","Gong, P., Liu, H., Wang, G., Yao, J., Dai, X., 2021. Enhanced depletion of antibiotics and accelerated estabilization of dissolved organic matter by hydrothermal pretreatment during composting of oxytetracycline fermentation residue. Bioresour. Technol. 339, 125618. https://doi.org/10.1016/j.biortech.2021.125618"
56,"Oxytetracycline","Tetracyclines","Inner Mongolia Autonomous Region, China","Solid waste","Aerobic composting","Laboratory scale","Composting product","High performance liquid chromatography(HPLC)","83.67","","","","",2021,"S016","Gong, P., Liu, H., Wang, G., Yao, J., Dai, X., 2021. Enhanced depletion of antibiotics and accelerated estabilization of dissolved organic matter by hydrothermal pretreatment during composting of oxytetracycline fermentation residue. Bioresour. Technol. 339, 125618. https://doi.org/10.1016/j.biortech.2021.125618"
57,"Oxytetracycline","Tetracyclines","Inner Mongolia Autonomous Region, China","Solid waste","Hydrothermal-aerobic composting","Laboratory scale","Pretreated residue","High performance liquid chromatography(HPLC)","3.14","","","","",2021,"S016","Gong, P., Liu, H., Wang, G., Yao, J., Dai, X., 2021. Enhanced depletion of antibiotics and accelerated estabilization of dissolved organic matter by hydrothermal pretreatment during composting of oxytetracycline fermentation residue. Bioresour. Technol. 339, 125618. https://doi.org/10.1016/j.biortech.2021.125618"
58,"Oxytetracycline","Tetracyclines","Inner Mongolia Autonomous Region, China","Solid waste","Hydrothermal-aerobic composting","Laboratory scale","Composting product","High performance liquid chromatography(HPLC)","1.97","","","","",2021,"S016","Gong, P., Liu, H., Wang, G., Yao, J., Dai, X., 2021. Enhanced depletion of antibiotics and accelerated estabilization of dissolved organic matter by hydrothermal pretreatment during composting of oxytetracycline fermentation residue. Bioresour. Technol. 339, 125618. https://doi.org/10.1016/j.biortech.2021.125618"
59,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Solid waste","Aerobic composting with microbial inoculum","Laboratory scale","Mixed residue","High performance liquid chromatography(HPLC)","884.3","Metagenomic sequencing","203","","0.17",2023,"S017","Chen, S., Zhong, W., Ning, Z., Niu, J., Feng, J., Qin, X., Li, Z., 2023. Effect of homemade compound microbial inoculum on the reduction of terramycin and antibiotic resistance genes in terramycin mycelial dreg aerobic composting and its mechanism. Bioresour. Technol. 368, 128302. https://doi.org/10.1016/j.biortech.2022.128302"
60,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Solid waste","Aerobic composting with microbial inoculum","Laboratory scale","Composting product","High performance liquid chromatography(HPLC)","7.3","Metagenomic sequencing","234","","0.22",2023,"S017","Chen, S., Zhong, W., Ning, Z., Niu, J., Feng, J., Qin, X., Li, Z., 2023. Effect of homemade compound microbial inoculum on the reduction of terramycin and antibiotic resistance genes in terramycin mycelial dreg aerobic composting and its mechanism. Bioresour. Technol. 368, 128302. https://doi.org/10.1016/j.biortech.2022.128302"
61,"Oxytetracycline","Tetracyclines","Hebei Province, China","Solid waste","Hydrothermal treatment","Laboratory scale","Raw residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","3900±100","Quantitative Real-time PCR","3tet","6.5×10^5","",2020,"S018","Awad, M., Tian, Z., Zhang, Y., Yang, M., Yin, W., Dong, L., 2020. Hydrothermal pretreatment of oxytetracycline fermentation residue: Removal of oxytetracycline and increasing the potential for anaerobic digestion. Environmental Engineering Research 26, 200258–0. https://doi.org/10.4491/eer.2020.258"
62,"Oxytetracycline","Tetracyclines","Hebei Province, China","Solid waste","Hydrothermal treatment","Laboratory scale","Treated residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","Not detected","Quantitative Real-time PCR","3tet","1.28×10^4","",2020,"S018","Awad, M., Tian, Z., Zhang, Y., Yang, M., Yin, W., Dong, L., 2020. Hydrothermal pretreatment of oxytetracycline fermentation residue: Removal of oxytetracycline and increasing the potential for anaerobic digestion. Environmental Engineering Research 26, 200258–0. https://doi.org/10.4491/eer.2020.258"
63,"Deacetoxycephalosporin","β-lactams","Northwest China","Solid waste","Gamma radiation","Laboratory scale","Raw residue","High performance liquid chromatography(HPLC)","871.7（mg/L）","","","","",2022,"S019","Yang, G., Wang, J., 2022. Enhanced antibiotic degradation and hydrogen production of deacetoxycephalosporin C fermentation residue by gamma radiation coupled with nano zero-valent iron. J. Hazard. Mater. 424, 127439. https://doi.org/10.1016/j.jhazmat.2021.127439"
64,"Deacetoxycephalosporin","β-lactams","Northwest China","Solid waste","Gamma radiation","Laboratory scale","Pretreated residue","High performance liquid chromatography(HPLC)","12.2（mg/L）","","","","",2022,"S019","Yang, G., Wang, J., 2022. Enhanced antibiotic degradation and hydrogen production of deacetoxycephalosporin C fermentation residue by gamma radiation coupled with nano zero-valent iron. J. Hazard. Mater. 424, 127439. https://doi.org/10.1016/j.jhazmat.2021.127439"
65,"Deacetoxycephalosporin","β-lactams","Xinjiang Uygur Autonomous Region, China","Solid waste","Hydrothermal treatment","Laboratory scale","Treated residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","Not detected","","","","",2024,"S020","Han, Z., Luan, X., Feng, H., Deng, Y., Yang, M., Zhang, Y., 2024. Metagenomic insights into microorganisms and antibiotic resistance genes of waste antibiotic fermentation residues along production, storage and treatment processes. J. Environ. Sci. 136, 45–55. https://doi.org/10.1016/j.jes.2022.10.035"
66,"Penicillin","β-lactams","Xinjiang Uygur Autonomous Region, China","Solid waste","Hydrothermal treatment","Laboratory scale","Raw residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","1750±113","","","","",2024,"S020","Han, Z., Luan, X., Feng, H., Deng, Y., Yang, M., Zhang, Y., 2024. Metagenomic insights into microorganisms and antibiotic resistance genes of waste antibiotic fermentation residues along production, storage and treatment processes. J. Environ. Sci. 136, 45–55. https://doi.org/10.1016/j.jes.2022.10.035"
67,"Penicillin","β-lactams","Xinjiang Uygur Autonomous Region, China","Solid waste","Hydrothermal treatment","Laboratory scale","Treated residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","Not detected","","","","",2024,"S020","Han, Z., Luan, X., Feng, H., Deng, Y., Yang, M., Zhang, Y., 2024. Metagenomic insights into microorganisms and antibiotic resistance genes of waste antibiotic fermentation residues along production, storage and treatment processes. J. Environ. Sci. 136, 45–55. https://doi.org/10.1016/j.jes.2022.10.036"
68,"Penicillin","β-lactams","Hebei Province, China","Solid waste","Pig manure co-composting","Laboratory scale","Mixed residue","Ultra performance liquid chromatography(UPLC)","898.51±57.73","","","","",2015,"S021","Zhang, Z., Zhao, J., Yu, C., Dong, S., Zhang, D., Yu, R., Wang, C., Liu, Y., 2015. Evaluation of aerobic co-composting of penicillin fermentation fungi residue with pig manure on penicillin degradation, microbial population dynamics and composting maturity. Bioresour. Technol. 198, 403–409. https://doi.org/10.1016/j.biortech.2015.09.005"
69,"Penicillin","β-lactams","Hebei Province, China","Solid waste","Pig manure co-composting","Laboratory scale","Composting product","Ultra performance liquid chromatography(UPLC)","0.61±0.03","","","","",2015,"S021","Zhang, Z., Zhao, J., Yu, C., Dong, S., Zhang, D., Yu, R., Wang, C., Liu, Y., 2015. Evaluation of aerobic co-composting of penicillin fermentation fungi residue with pig manure on penicillin degradation, microbial population dynamics and composting maturity. Bioresour. Technol. 198, 403–409. https://doi.org/10.1016/j.biortech.2015.09.005"
70,"Erythromycin","Macrolides","Xinjiang Uygur Autonomous Region, China","Solid waste","Cattle manure co-composting","Laboratory scale","Composting product","","","Quantitative Real-time PCR","7erm, mefA, ereA","Decreased by 78.1%","Increased 14.5–68.7-fold",2022,"S022","Ren, J., Deng, L., Li, C., Li, Z., Dong, L., Zhao, J., Huhetaoli, Zhang, J., Niu, D., 2022. Evolution of antibiotic resistance genes and bacterial community during erythromycin fermentation residue composting. Environ. Pollut. 309, 119746. https://doi.org/10.1016/j.envpol.2022.119746"
71,"Penicillin","β-lactams","Harbin, Heilongjiang Province, China","Solid waste","Aerobic composting","Pilot scale","Mixed residue","High performance liquid chromatography(HPLC)","1093.6±20.76","Quantitative Real-time PCR","blaTEM","4.17±0.19log","",2016,"S023","Yang, L., Zhang, S., Chen, Z., Wen, Q., Wang, Y., 2016. Maturity and security assessment of pilot-scale aerobic co-composting of penicillin fermentation dregs (PFDs) with sewage sludge. Bioresource Technology 204, 185–191. https://doi.org/10.1016/j.biortech.2016.01.004"
72,"Penicillin","β-lactams","Harbin, Heilongjiang Province, China","Solid waste","Aerobic composting","Pilot scale","Composting product","High performance liquid chromatography(HPLC)","4.6 ± 0.49","Quantitative Real-time PCR","blaTEM","8.98±0.27log","",2016,"S023","Yang, L., Zhang, S., Chen, Z., Wen, Q., Wang, Y., 2016. Maturity and security assessment of pilot-scale aerobic co-composting of penicillin fermentation dregs (PFDs) with sewage sludge. Bioresource Technology 204, 185–191. https://doi.org/10.1016/j.biortech.2016.01.004"
73,"Penicillin","β-lactams","Harbin, Heilongjiang Province, China","Solid waste","Aerobic composting","Pilot scale","Mixed residue","High performance liquid chromatography(HPLC)","1065.2-1101.6","","","","",2015,"S024","Chen, Z., Zhang, S., Wen, Q., Zheng, J., 2015. Effect of aeration rate on composting of penicillin mycelial dreg. Journal of Environmental Sciences 37, 172–178. https://doi.org/10.1016/j.jes.2015.03.020"
74,"Penicillin","β-lactams","Harbin, Heilongjiang Province, China","Solid waste","Aerobic composting","Pilot scale","Composting product","High performance liquid chromatography(HPLC)","6.4-15.5","","","","",2015,"S024","Chen, Z., Zhang, S., Wen, Q., Zheng, J., 2015. Effect of aeration rate on composting of penicillin mycelial dreg. Journal of Environmental Sciences 37, 172–178. https://doi.org/10.1016/j.jes.2015.03.020"
75,"Kanamycin","Aminoglycosides","Heilongjiang Province, China","Solid waste","Abiotic humification","Laboratory scale","Raw residue","Derivatization and liquid chromatography","10000","","","","",2023,"S025","Hui, X., Wang, Y., Zhang, H., Fang, W., Liu, H., Dai, X., 2023. Overlooked abiotic humification for kanamycin removal in kanamycin fermentation waste by tea polyphenols: New, environmentally friendly and specific. Chemical Engineering Journal 478, 147377. https://doi.org/10.1016/j.cej.2023.147377"
76,"Kanamycin","Aminoglycosides","Heilongjiang Province, China","Solid waste","Abiotic humification","Laboratory scale","Treated residue","Derivatization and liquid chromatography","100","","","","",2023,"S025","Hui, X., Wang, Y., Zhang, H., Fang, W., Liu, H., Dai, X., 2023. Overlooked abiotic humification for kanamycin removal in kanamycin fermentation waste by tea polyphenols: New, environmentally friendly and specific. Chemical Engineering Journal 478, 147377. https://doi.org/10.1016/j.cej.2023.147377"
77,"Gentamicin","Aminoglycosides","Heilongjiang Province, China","Solid waste","Hydrothermal treatment","Laboratory scale","Raw residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","2.19 ± 0.25","Quantitative Real-time PCR","aac(3)-IIe, strB, aadA1, aad(6), rmtA, aac(6′)/aph(2′′).","8.0× 10^6","",2024,"S026","Chen, G., Zhou, T., Song, Y., Yan, B., Mu, L., Tao, J., Pei, L., 2024. Alkaline hydrothermal treatment of gentamycin mycelial residues: characteristics of disintegration, solid-state fermentation, and antibiotic resistance genes reduction. Biomass Conv. Bioref. https://doi.org/10.1007/s13399-024-05568-4"
78,"Gentamicin","Aminoglycosides","Heilongjiang Province, China","Solid waste","Hydrothermal treatment","Laboratory scale","Treated residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","Not detected","Quantitative Real-time PCR","aac(3)-IIe, strB, aadA1, aad(6), rmtA, aac(6′)/aph(2′′).","1.0× 10^5","",2024,"S026","Chen, G., Zhou, T., Song, Y., Yan, B., Mu, L., Tao, J., Pei, L., 2024. Alkaline hydrothermal treatment of gentamycin mycelial residues: characteristics of disintegration, solid-state fermentation, and antibiotic resistance genes reduction. Biomass Conv. Bioref. https://doi.org/10.1007/s13399-024-05568-4"
79,"Neomycin","Aminoglycosides","Beijing, China","Solid waste","Steam explosion and aerobic composting system（SEA-CBS）","Laboratory scale","Raw residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","7500","","","","",2022,"S027","Zhou, J., Ping, R., Wu, H., Liu, H., Wang, X., Ren, A., Tian, S., Ma, Y., 2022. Recycling of neomycin fermentation residue using SEA-CBS technology: Growth performance and antibiotic resistance genes. Science of The Total Environment 807, 150860. https://doi.org/10.1016/j.scitotenv.2021.150860"
80,"Neomycin","Aminoglycosides","Beijing, China","Solid waste","Steam explosion and aerobic composting system（SEA-CBS）","Laboratory scale","Composting product","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","Not detected","","","","",2022,"S027","Zhou, J., Ping, R., Wu, H., Liu, H., Wang, X., Ren, A., Tian, S., Ma, Y., 2022. Recycling of neomycin fermentation residue using SEA-CBS technology: Growth performance and antibiotic resistance genes. Science of The Total Environment 807, 150860. https://doi.org/10.1016/j.scitotenv.2021.150860"
81,"Neomycin","Aminoglycosides","Beijing, China","Solid waste","Steam explosion and aerobic composting system（SEA-CBS）","Laboratory scale","Applied soil","","","Quantitative Real-time PCR","acc(6′)ib","106 ±38","6.23 × 10^-4±1.75×10^-4",2022,"S027","Zhou, J., Ping, R., Wu, H., Liu, H., Wang, X., Ren, A., Tian, S., Ma, Y., 2022. Recycling of neomycin fermentation residue using SEA-CBS technology: Growth performance and antibiotic resistance genes. Science of The Total Environment 807, 150860. https://doi.org/10.1016/j.scitotenv.2021.150860"
82,"Lincomysin","Lincosamides","Xinxiang, Henan Province, China","Solid waste","Furfural slag co-composting","Pilot scale","Mixed residue","High performance liquid chromatography(HPLC)","3180","","","","",2018,"S028","Ren, S., Guo, Xiali, Lu, A., Guo, Xiaoying, Wang, Y., Sun, G., Guo, W., Ren, C., Wang, L., 2018. Effects of co-composting of lincomycin mycelia dregs with furfural slag on lincomycin degradation, maturity and microbial communities. Bioresour. Technol. 265, 155–162. https://doi.org/10.1016/j.biortech.2018.05.087"
83,"Lincomysin","Lincosamides","Xinxiang, Henan Province, China","Solid waste","Furfural slag co-composting","Pilot scale","Composting product","High performance liquid chromatography(HPLC)","0.5","","","","",2018,"S028","Ren, S., Guo, Xiali, Lu, A., Guo, Xiaoying, Wang, Y., Sun, G., Guo, W., Ren, C., Wang, L., 2018. Effects of co-composting of lincomycin mycelia dregs with furfural slag on lincomycin degradation, maturity and microbial communities. Bioresour. Technol. 265, 155–162. https://doi.org/10.1016/j.biortech.2018.05.087"
84,"Lincomysin","Lincosamides","Xinxiang, Henan Province, China","Solid waste","Furfural slag co-composting","Full-scale","Mixed residue","","","Quantitative Real-time PCR","3erm, sul1, lnuA","7.7 × 10^1(include intI1)","0.0475",2019,"S029","Ren, S., Lu, A., Guo, Xiaoying, Zhang, Q., Wang, Y., Guo, Xiali, Wang, L., Zhang, B., 2019. Effects of co-composting of lincomycin mycelia dregs with furfural slag on lincomycin degradation, degradation products, antibiotic resistance genes and bacterial community. Bioresour. Technol. 272, 83–91. https://doi.org/10.1016/j.biortech.2018.10.014"
85,"Lincomysin","Lincosamides","Xinxiang, Henan Province, China","Solid waste","Furfural slag co-composting","Full-scale","Composting product","","","Quantitative Real-time PCR","3erm, sul1, lnuA","1.30 × 10^4(include intI1)","0.033",2019,"S029","Ren, S., Lu, A., Guo, Xiaoying, Zhang, Q., Wang, Y., Guo, Xiali, Wang, L., Zhang, B., 2019. Effects of co-composting of lincomycin mycelia dregs with furfural slag on lincomycin degradation, degradation products, antibiotic resistance genes and bacterial community. Bioresour. Technol. 272, 83–91. https://doi.org/10.1016/j.biortech.2018.10.014"
86,"Lincomysin","Lincosamides","Henan Province, China","Solid waste","Biochar-amended composting","Laboratory scale","Mixed residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","350","Quantitative Real-time PCR","2tet,2sul,2str,lunA,lmrA,2erm","","＜0.25",2023,"S030","Wang, C., Wang, Y., Yan, S., Li, Y., Zhang, P., Ren, P., Wang, M., Kuang, S., 2023. Biochar-amended composting of lincomycin fermentation dregs promoted microbial metabolism and reduced antibiotic resistance genes. Bioresour. Technol. 367, 128253. https://doi.org/10.1016/j.biortech.2022.128253"
87,"Lincomysin","Lincosamides","Henan Province, China","Solid waste","Biochar-amended composting","Laboratory scale","Composting product","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","25","Quantitative Real-time PCR","2tet,2sul,2str,lunA,lmrA,2erm","","＞0.75",2023,"S030","Wang, C., Wang, Y., Yan, S., Li, Y., Zhang, P., Ren, P., Wang, M., Kuang, S., 2023. Biochar-amended composting of lincomycin fermentation dregs promoted microbial metabolism and reduced antibiotic resistance genes. Bioresour. Technol. 367, 128253. https://doi.org/10.1016/j.biortech.2022.128253"
88,"Vancomycin","Glycopeptide antibiotics","Fuzhou, Fujian Province, China","Solid waste","Pyrolysis","Laboratory scale","Raw residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","632.2±81.4","Quantitative Real-time PCR","6tet,4van,7Aminoglycoside","","0.1622",2023,"S031","Zhang, M., Chen, Q., Zhang, R., Zhang, Y., Wang, F., He, M., Guo, X., Yang, J., Zhang, X., Mu, J., 2023. Pyrolysis of Ca/Fe-rich antibiotic fermentation residues into biochars for efficient phosphate removal/recovery from wastewater: Turning hazardous waste to phosphorous fertilizer. Science of The Total Environment 869, 161732. https://doi.org/10.1016/j.scitotenv.2023.161732"
89,"Vancomycin","Glycopeptide antibiotics","Fuzhou, Fujian Province, China","Solid waste","Pyrolysis","Laboratory scale","Treated residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","Not detected","Quantitative Real-time PCR","Not detected","","",2023,"S031","Zhang, M., Chen, Q., Zhang, R., Zhang, Y., Wang, F., He, M., Guo, X., Yang, J., Zhang, X., Mu, J., 2023. Pyrolysis of Ca/Fe-rich antibiotic fermentation residues into biochars for efficient phosphate removal/recovery from wastewater: Turning hazardous waste to phosphorous fertilizer. Science of The Total Environment 869, 161732. https://doi.org/10.1016/j.scitotenv.2023.161732"
90,"Erythromycin","Macrolides","Poland","Wastewater","Adsorption","Laboratory scale","Pretreated effluent","High performance liquid chromatography(HPLC)","96.78*10^(-3)","","","","",2023,"S032","Grela, A., Kuc, J., Klimek, A., Matusik, J., Pamuła, J., Franus, W., Urbański, K., Bajda, T., 2023. Erythromycin Scavenging from Aqueous Solutions by Zeolitic Materials Derived from Fly Ash. Molecules 28, 798. https://doi.org/10.3390/molecules28020798"
91,"Erythromycin","Macrolides","Poland","Wastewater","Adsorption","Laboratory scale","Secondary effluent","High performance liquid chromatography(HPLC)","5.38*10^(-3)","","","","",2023,"S032","Grela, A., Kuc, J., Klimek, A., Matusik, J., Pamuła, J., Franus, W., Urbański, K., Bajda, T., 2023. Erythromycin Scavenging from Aqueous Solutions by Zeolitic Materials Derived from Fly Ash. Molecules 28, 798. https://doi.org/10.3390/molecules28020798"
92,"Erythromycin","Macrolides","Pharmaceutical Plant","Wastewater","Metalorganic framework (MOF) with enzyme","Laboratory scale","Receiving water","High performance liquid chromatography(HPLC)","187*10^(-3)","","","","",2023,"S033","Ni, S., Li, C., Zhang, W., Niu, D., Zhi, J., Wang, C., Jiang, X., Ren, J., 2023. Immobilization of purified enzyme EreB in metalorganic framework (MOF) mesopores for erythromycin degradation. Environmental Research 237, 117023. https://doi.org/10.1016/j.envres.2023.117023"
93,"Erythromycin","Macrolides","Pharmaceutical Plant","Wastewater","Gamma radiation","Laboratory scale","Secondary effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","789*10^(-3)","Highthroughput quantitative PCR(HT-PCR)","3erm, maA/mel, floR, sul2, tetM, mefA","5.5log","",2021,"S034","Chu, L., Wang, J., Chen, C., He, S., Wojnárovits, L., Takács, E., 2021. Advanced treatment of antibiotic wastewater by ionizing radiation combined with peroxymonosulfate/H2O2 oxidation. Journal of Cleaner Production 321, 128921. https://doi.org/10.1016/j.jclepro.2021.128921"
94,"Erythromycin","Macrolides","Pharmaceutical Plant","Wastewater","Gamma radiation","Laboratory scale","Advanced treatment effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","100*10^(-3)","Highthroughput quantitative PCR(HT-PCR)","3erm, maA/mel, floR, sul2, tetM, mefA","4log","",2021,"S034","Chu, L., Wang, J., Chen, C., He, S., Wojnárovits, L., Takács, E., 2021. Advanced treatment of antibiotic wastewater by ionizing radiation combined with peroxymonosulfate/H2O2 oxidation. Journal of Cleaner Production 321, 128921. https://doi.org/10.1016/j.jclepro.2021.128921"
95,"Erythromycin","Macrolides","Xinjiang Uygur Autonomous Region, China","Wastewater","Two-stage anaerobic and aerobic biological system","Full-scale","Raw wastewater","Antibiotic equivalent quantity detection(EQ)","404.0 – 981.1 Ery-A EQ","Quantitative Real-time PCR","4erm, 1ere, 2mph, 1mef","7.3×10^9","1.3×10^-1",2023,"S035","Tang, L., Feng, H., Luan, X., Han, Z., Yang, M., Zhang, Y., 2023. Occurrence, distribution, and behaviors of erythromycin A, production byproducts, transformation products, and resistance genes in a full-scale erythromycin A production wastewater treatment system. Water Research 245, 120640. https://doi.org/10.1016/j.watres.2023.120640"
96,"Erythromycin","Macrolides","Xinjiang Uygur Autonomous Region, China","Wastewater","Two-stage anaerobic and aerobic biological system","Full-scale","Influent","Antibiotic equivalent quantity detection(EQ)","22.5 – 88.8 Ery-A EQ","Quantitative Real-time PCR","4erm, 1ere, 2mph, 1mef","4.3×10^8","",2023,"S035","Tang, L., Feng, H., Luan, X., Han, Z., Yang, M., Zhang, Y., 2023. Occurrence, distribution, and behaviors of erythromycin A, production byproducts, transformation products, and resistance genes in a full-scale erythromycin A production wastewater treatment system. Water Research 245, 120640. https://doi.org/10.1016/j.watres.2023.120640"
97,"Erythromycin","Macrolides","Xinjiang Uygur Autonomous Region, China","Wastewater","Two-stage anaerobic and aerobic biological system","Full-scale","Pretreated effluent","Antibiotic equivalent quantity detection(EQ)","1.1 – 6.0 Ery-A EQ","Quantitative Real-time PCR","4erm, 1ere, 2mph, 1mef","7.1×10^7","",2023,"S035","Tang, L., Feng, H., Luan, X., Han, Z., Yang, M., Zhang, Y., 2023. Occurrence, distribution, and behaviors of erythromycin A, production byproducts, transformation products, and resistance genes in a full-scale erythromycin A production wastewater treatment system. Water Research 245, 120640. https://doi.org/10.1016/j.watres.2023.120640"
98,"Erythromycin","Macrolides","Xinjiang Uygur Autonomous Region, China","Wastewater","Two-stage anaerobic and aerobic biological system","Full-scale","Secondary effluent","Antibiotic equivalent quantity detection(EQ)","（3.0-4.0）×10^-3 Ery-A EQ","Quantitative Real-time PCR","4erm, 1ere, 2mph, 1mef","2.1×10^7","",2023,"S035","Tang, L., Feng, H., Luan, X., Han, Z., Yang, M., Zhang, Y., 2023. Occurrence, distribution, and behaviors of erythromycin A, production byproducts, transformation products, and resistance genes in a full-scale erythromycin A production wastewater treatment system. Water Research 245, 120640. https://doi.org/10.1016/j.watres.2023.120640"
99,"Erythromycin","Macrolides","Xinjiang Uygur Autonomous Region, China","Wastewater","Two-stage anaerobic and aerobic biological system","Full-scale","Anaerobic sludge","Antibiotic equivalent quantity detection(EQ)","275.0 – 1468.3 mg Ery-A EQ/kg","Quantitative Real-time PCR; Metagenomic sequencing","4erm, 1ere, 2mph, 1mef","1.3×10^10copies/g","1.1×10^-1",2023,"S035","Tang, L., Feng, H., Luan, X., Han, Z., Yang, M., Zhang, Y., 2023. Occurrence, distribution, and behaviors of erythromycin A, production byproducts, transformation products, and resistance genes in a full-scale erythromycin A production wastewater treatment system. Water Research 245, 120640. https://doi.org/10.1016/j.watres.2023.120640"
100,"Erythromycin","Macrolides","Xinjiang Uygur Autonomous Region, China","Wastewater","Two-stage anaerobic and aerobic biological system","Full-scale","Anaerobic sludge","Antibiotic equivalent quantity detection(EQ)","114.7 – 210.6 mg Ery-A EQ/kg","Quantitative Real-time PCR; Metagenomic sequencing","4erm, 1ere, 2mph, 1mef","6.6×10^9copies/g","7.3×10^-2",2023,"S035","Tang, L., Feng, H., Luan, X., Han, Z., Yang, M., Zhang, Y., 2023. Occurrence, distribution, and behaviors of erythromycin A, production byproducts, transformation products, and resistance genes in a full-scale erythromycin A production wastewater treatment system. Water Research 245, 120640. https://doi.org/10.1016/j.watres.2023.120640"
101,"Erythromycin","Macrolides","Xinjiang Uygur Autonomous Region, China","Wastewater","Two-stage anaerobic and aerobic biological system","Full-scale","Excess sludge","Antibiotic equivalent quantity detection(EQ)","38.8 – 75.8 mg Ery-A EQ/kg","Quantitative Real-time PCR; Metagenomic sequencing","3erm, 1ere, 2mph, 1mef","7.2×10^10copies/g","1.3×10^-1",2023,"S035","Tang, L., Feng, H., Luan, X., Han, Z., Yang, M., Zhang, Y., 2023. Occurrence, distribution, and behaviors of erythromycin A, production byproducts, transformation products, and resistance genes in a full-scale erythromycin A production wastewater treatment system. Water Research 245, 120640. https://doi.org/10.1016/j.watres.2023.120640"
