dataset,country,province,city,author_loc_ref,lon,lat,sample_type,sam_Y,sam_M,ABX_cat,ABX_subcat,ABX_subcat_abbre,ABX_conc_mean,unit
Zhang_2022,China,Tianjin,Tianjin,NA,117.334806,39.2525,sediments,2009,7,Sulfonamides,Sulfisoxazole,SSZ,NA,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.436722,39.334833,sediments,2009,7,Sulfonamides,Sulfisoxazole,SSZ,NA,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.182889,38.961056,sediments,2009,12,Sulfonamides,Sulfisoxazole,SSZ,NA,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.391833,39.010056,sediments,2009,12,Sulfonamides,Sulfisoxazole,SSZ,NA,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.467694,39.15275,sediments,2009,12,Sulfonamides,Sulfisoxazole,SSZ,4.14,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.334806,39.2525,sediments,2009,12,Sulfonamides,Sulfisoxazole,SSZ,NA,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.334583,39.291861,sediments,2009,12,Sulfonamides,Sulfisoxazole,SSZ,NA,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.436722,39.334833,sediments,2009,12,Sulfonamides,Sulfisoxazole,SSZ,NA,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.436722,39.334833,sediments,2009,12,Sulfonamides,Sulfisoxazole,SSZ,6.45,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.182889,38.961056,sediments,2009,7,Sulfonamides,Sulfamethoxazole,SMX,NA,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.334806,39.2525,sediments,2009,7,Sulfonamides,Sulfamethoxazole,SMX,1.53,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.436722,39.334833,sediments,2009,7,Sulfonamides,Sulfamethoxazole,SMX,NA,μg/kg
