dataset,country,province,city,author_loc_ref,lon,lat,sample_type,sam_Y,sam_M,ABX_cat,ABX_subcat,ABX_subcat_clean,ABX_subcat_abbre,ABX_conc_mean,unit,abx
Zhang_2022,China,Tianjin,Tianjin,NA,117.436722,39.334833,sediments,2009,7,Tetracyclines,Norfloxacin,norfloxacin,NFX,21.2,μg/kg,norfloxacin
Zhang_2022,China,Tianjin,Tianjin,NA,117.436722,39.334833,sediments,2009,7,Tetracyclines,Ciprofloxacin,ciprofloxacin,CFX,65.11,μg/kg,ciprofloxacin
Zhang_2022,China,Guangdong,Dongguan,NA,113.751765,23.020536,soil,NA,NA,Tetracyclines,Tetracycline,tetracycline,TC,1.32,μg/kg,tetracycline
Zhang_2022,China,Guangdong,Dongguan,NA,113.751765,23.020536,soil,NA,NA,Tetracyclines,Oxytetracycline,oxytetracycline,OTC,8.949999999999998,μg/kg,oxytetracycline
Zhang_2022,China,Guangdong,Dongguan,NA,113.751765,23.020536,soil,NA,NA,Tetracyclines,Doxycycline,doxycycline,DXC,5.45,μg/kg,doxycycline
Zhang_2022,China,Guangdong,Dongguan,NA,113.751765,23.020536,soil,NA,NA,Tetracyclines,Chlortetracycline,chlortetracycline,CTC,5.13,μg/kg,chlortetracycline
Zhang_2022,China,Guangdong,Dongguan,NA,113.751765,23.020536,soil,NA,NA,Fluoroquinolones,Lomefloxacin,lomefloxacin,LFX,0.67,μg/kg,lomefloxacin
Zhang_2022,China,Guangdong,Dongguan,NA,113.751765,23.020536,soil,NA,NA,Fluoroquinolones,Enrofloxacin,enrofloxacin,EFX,19.85,μg/kg,enrofloxacin
Zhang_2022,China,Guangdong,Dongguan,NA,113.751765,23.020536,soil,NA,NA,Fluoroquinolones,Ciprofloxacin,ciprofloxacin,CFX,24.93,μg/kg,ciprofloxacin
Zhang_2022,China,Guangdong,Dongguan,NA,113.751765,23.020536,soil,NA,NA,Fluoroquinolones,Norfloxacin,norfloxacin,NFX,4.8,μg/kg,norfloxacin
Zhang_2022,China,Guangdong,NA,Pearl River Delta,113.8251756,23.08574066,soil,NA,NA,Tetracyclines,Tetracycline,tetracycline,TC,0.63,μg/kg,tetracycline
Zhang_2022,China,Guangdong,NA,Pearl River Delta,113.8251756,23.08574066,soil,NA,NA,Tetracyclines,Oxytetracycline,oxytetracycline,OTC,2.74,μg/kg,oxytetracycline
Zhang_2022,China,Guangdong,NA,Pearl River Delta,113.8251756,23.08574066,soil,NA,NA,Tetracyclines,Doxycycline,doxycycline,DXC,3.11,μg/kg,doxycycline
Zhang_2022,China,Guangdong,NA,Pearl River Delta,113.8251756,23.08574066,soil,NA,NA,Tetracyclines,Chlortetracycline,chlortetracycline,CTC,0.87,μg/kg,chlortetracycline
Zhang_2022,China,Beijing,NA,NA,116.407526,39.90403,municipal sludge,NA,NA,Fluoroquinolones,Nallidixic Acid,nallidixic acid,NDA,1.55,μg/kg,nalidixic acid
Zhang_2022,China,Beijing,NA,NA,116.407526,39.90403,municipal sludge,2010,NA,Other,Chloromycetin,chloromycetin,CAP,0.6,μg/kg,chloramphenicol
