province,antibiotic,metric,value,unit,china_mean,fold_change,log2_fc,qu_category,qu_subcategory,NBS_region,RR_ranking,k2_groups,k3_groups,k4_groups
Beijing,Amikacin,A. baumannii_resistance_2019,41.49708151817322,% resistant strains,37.35917012297338,1.110760259973101,0.15154746742844802,First,1,Eastern,4,1,2,4
Beijing,Minocycline,A. baumannii_resistance_2019,22.94623702764511,% resistant strains,18.085789382457733,1.2687440145632658,0.34340101624440494,First,1,Eastern,4,1,2,4
Beijing,Tobramycin,A. baumannii_resistance_2019,52.87727117538452,% resistant strains,46.952588087128056,1.126184377254397,0.17144304267107816,First,1,Eastern,4,1,2,4
Beijing,Gentamicin,A. baumannii_resistance_2019,51.69036388397217,% resistant strains,49.475974132937765,1.0447568701746939,0.06316724565182463,First,1,Eastern,4,1,2,4
Beijing,Levofloxacin,A. baumannii_resistance_2019,45.75590491294861,% resistant strains,44.41681581158792,1.03014824626423,0.04285196727298704,First,1,Eastern,4,1,2,4
Beijing,Imipenem,A. baumannii_resistance_2019,60.10045409202576,% resistant strains,53.001559549762355,1.1339374652853065,0.18134108030622226,First,1,Eastern,4,1,2,4
Beijing,Ciprofloxacin,A. baumannii_resistance_2019,60.750579833984375,% resistant strains,56.160062166952315,1.0817398964656662,0.11335364593941995,First,1,Eastern,4,1,2,4
Beijing,Cefepime,A. baumannii_resistance_2019,56.058865785598755,% resistant strains,52.41881608963013,1.0694416617449842,0.09685778534844243,First,1,Eastern,4,1,2,4
Beijing,Ceftazidime,A. baumannii_resistance_2019,58.732032775878906,% resistant strains,52.52594563268846,1.1181527922712582,0.1611173416610757,First,1,Eastern,4,1,2,4
Beijing,Meropenem,A. baumannii_resistance_2019,63.33904266357422,% resistant strains,53.06381267164984,1.1936391200441214,0.25536672402414934,First,1,Eastern,4,1,2,4
Beijing,Cefotaxime,A. baumannii_resistance_2019,48.4828919172287,% resistant strains,55.66688612103462,0.8709467206736513,-0.19934362884273274,First,1,Eastern,4,1,2,4
Beijing,Ceftriaxone,A. baumannii_resistance_2019,59.79793667793274,% resistant strains,53.05037205257723,1.1271916551059835,0.1727328361517959,First,1,Eastern,4,1,2,4
Beijing,Aztreonam,A. baumannii_resistance_2019,73.10206294059753,% resistant strains,69.59814339876175,1.0503450145467261,0.07086329838350848,First,1,Eastern,4,1,2,4
Tianjin,Nitrofurantoin,S. aureus_resistance_2019,0.17021276289597154,% resistant strains,0.5581072275526822,0.3049821871011416,-1.7132031123145024,First,1,Eastern,7,2,2,4
Tianjin,Chloramphenicol,S. aureus_resistance_2019,1.785714365541935,% resistant strains,9.061887003481388,0.1970576729610401,-2.343310169175514,First,1,Eastern,7,2,2,4
Tianjin,Rifampicin,S. aureus_resistance_2019,1.94479301571846,% resistant strains,3.5077634357636973,0.5544253628651691,-0.8509348380564598,First,1,Eastern,7,2,2,4
Tianjin,Levofloxacin,S. aureus_resistance_2019,11.60104125738144,% resistant strains,14.43122840456424,0.8038845295880922,-0.3149398081031758,First,1,Eastern,7,2,2,4
Tianjin,Tetracycline,S. aureus_resistance_2019,12.132489681243896,% resistant strains,23.47471627496904,0.5168322180822565,-0.9522320878998058,First,1,Eastern,7,2,2,4
Tianjin,Ciprofloxacin,S. aureus_resistance_2019,11.982934176921844,% resistant strains,15.051637409675505,0.7961216345285441,-0.328939226775377,First,1,Eastern,7,2,2,4
Tianjin,Oxacillin,S. aureus_resistance_2019,18.2183638215065,% resistant strains,28.357762819336305,0.6424471471030129,-0.6383503234583406,First,1,Eastern,7,2,2,4
Tianjin,Gentamicin,S. aureus_resistance_2019,15.109717845916748,% resistant strains,12.872817102939852,1.17376932532243,0.23114891107804006,First,1,Eastern,7,2,2,4
Tianjin,Cefoxitin,S. aureus_resistance_2019,19.426049292087555,% resistant strains,28.241958517220713,0.6878435601497821,-0.5398476123141411,First,1,Eastern,7,2,2,4
