province,bacteria,antibiotic,resistant_pc
Liaoning,S. aureus,Rifampicin,1.586901769042015
Liaoning,S. aureus,Chloramphenicol,8.030112832784653
Liaoning,S. aureus,Cefoxitin,11.19157373905182
Liaoning,S. aureus,Gentamicin,9.17777195572853
Liaoning,S. aureus,Tetracycline,11.747747659683228
Liaoning,S. aureus,Oxacillin,14.88482654094696
Liaoning,S. aureus,Levofloxacin,25.37037134170532
Liaoning,S. aureus,Ciprofloxacin,26.07511281967163
Liaoning,S. aureus,Clindamycin,35.70100963115692
Liaoning,S. aureus,Erythromycin,73.02396893501282
Liaoning,S. aureus,Penicillin G,86.85259222984314
Liaoning,E. coli,Tigecycline,0.3419019980356097
Liaoning,E. coli,Polymixin B,0.7352941203862429
Liaoning,E. coli,Meropenem,1.7435286194086077
Liaoning,E. coli,Imipenem,1.6357026994228363
Liaoning,E. coli,Ertapenem,2.660698816180229
Liaoning,E. coli,Cefotetan,3.375120460987091
Liaoning,E. coli,Amikacin,5.308042839169502
Liaoning,E. coli,Nitrofurantoin,3.10961976647377
Liaoning,E. coli,Cefoxitin,13.708962500095367
Liaoning,E. coli,Chloramphenicol,30.198299884796143
Liaoning,E. coli,Ceftazidime,28.057006001472473
Liaoning,E. coli,Tobramycin,36.89274191856384
Liaoning,E. coli,Cefepime,32.94242024421692
Liaoning,E. coli,Gentamicin,38.52443993091583
Liaoning,E. coli,Aztreonam,36.71001493930817
Liaoning,E. coli,Ceftriaxone,56.874847412109375
Liaoning,E. coli,Cefotaxime,57.69725441932678
Liaoning,E. coli,Cefuroxime,58.44230055809021
Liaoning,E. coli,Levofloxacin,64.76317644119263
Liaoning,E. coli,Ciprofloxacin,69.17310953140259
Liaoning,E. coli,Cefazolin,68.59139204025269
Liaoning,E. coli,Ampicillin,84.38578248023987
Liaoning,K. pneumoniae,Polymixin B,2.0679468289017677
Liaoning,K. pneumoniae,Tigecycline,2.0773746073246
Liaoning,K. pneumoniae,Amikacin,7.343464344739914
Liaoning,K. pneumoniae,Cefotetan,10.24780198931694
Liaoning,K. pneumoniae,Ertapenem,12.33343631029129
Liaoning,K. pneumoniae,Meropenem,12.892860174179075
Liaoning,K. pneumoniae,Imipenem,12.90360689163208
Liaoning,K. pneumoniae,Cefoxitin,18.7422513961792
Liaoning,K. pneumoniae,Gentamicin,20.102092623710632
Liaoning,K. pneumoniae,Tobramycin,22.094446420669556
Liaoning,K. pneumoniae,Levofloxacin,20.74294686317444
Liaoning,K. pneumoniae,Ceftazidime,23.442524671554565
Liaoning,K. pneumoniae,Cefepime,23.183314502239227
Liaoning,K. pneumoniae,Chloramphenicol,23.897139728069305
Liaoning,K. pneumoniae,Aztreonam,26.2689471244812
Liaoning,K. pneumoniae,Ciprofloxacin,24.44738745689392
Liaoning,K. pneumoniae,Cefotaxime,28.480836749076843
Liaoning,K. pneumoniae,Ceftriaxone,32.679930329322815
Liaoning,K. pneumoniae,Cefuroxime,35.34558713436127
Liaoning,K. pneumoniae,Cefazolin,36.340880393981934
Liaoning,K. pneumoniae,Nitrofurantoin,25.921374559402462
Liaoning,K. pneumoniae,Ampicillin,84.20851826667786
Liaoning,P. aeruginosa,Polymixin B,3.4703195095062256
Liaoning,P. aeruginosa,Amikacin,4.075504094362259
Liaoning,P. aeruginosa,Tobramycin,11.024665087461472
Liaoning,P. aeruginosa,Gentamicin,10.228639841079712
Liaoning,P. aeruginosa,Ciprofloxacin,15.74619561433792
Liaoning,P. aeruginosa,Ceftazidime,16.271433234214783
Liaoning,P. aeruginosa,Cefepime,9.947258979082108
Liaoning,P. aeruginosa,Meropenem,20.193152129650116
Liaoning,P. aeruginosa,Levofloxacin,16.650426387786865
