sample_type,antibiotic,group_of_antibiotic,records,provinces,median_conc,p90_conc,max_conc,prevalence_score
sediment,Sarafloxacin,sulfonamides,1,1,0.12,0.12,0.12,-0.837482989880783
sediment,Lomefloxacin,sulfonamides,1,1,0.09,0.09,0.09,-0.839321771411603
sediment,Monensin,other,1,1,0.07,0.07,0.07,-0.8405759608232688
sediment,Leucomycin,macrolides,1,1,0.03,0.03,0.03,-0.8431562459616412
sediment,Ormetoprim,other,1,1,0.03,0.03,0.03,-0.8431562459616412
sediment,Sulfachloryridazine,sulfonamides,1,1,0.01,0.01,0.01,-0.8444842158175083
sediment,sulfapyridine,sulfonamides,1,1,0.01,0.01,0.01,-0.8444842158175083
sediment,Sulfanitran,sulfonamides,1,1,0.0,0.0,0.0,-0.8451580949367519
sediment,Sulfisomidine,sulfonamides,1,1,0.0,0.0,0.0,-0.8451580949367519
soil,Oxytetracycline,tetracyclines,86,22,21.59,324.25,7580.0,1.9185743568239164
soil,Chlortetracycline,tetracyclines,83,22,19.928,770.6759999999997,12900.0,1.89654560630137
soil,Tetracycline,tetracyclines,87,22,11.69,74.44000000000008,2233.33333333333,1.8850070862898145
soil,Enrofloxacin,fluoroquinolones,73,21,6.8149999999999995,100.8697,322.7,1.755478945453683
soil,Ciprofloxacin,fluoroquinolones,71,20,8.4,69.6,651.6,1.740718826008689
soil,Doxycycline,tetracyclines,57,21,7.0,74.79799999999997,4447.5,1.6400591152109691
soil,Norfloxacin,fluoroquinolones,62,18,6.345,55.7,288.3,1.6295298459523155
soil,Ofloxacin,fluoroquinolones,50,19,7.7515,57.60000000000008,298.3,1.5554651436567928
soil,Sulfamethazine,sulfonamides,65,15,1.034,32.11600000000002,1470.0,1.512798227296699
soil,Sulfadiazine,sulfonamides,54,19,0.6,11.820000000000034,2230.0,1.4766505731547783
soil,Sulfamethoxazole,sulfonamides,48,18,0.56,14.902470588235326,1713.33333333333,1.403903548632374
soil,Sulfamonomethoxine,sulfonamides,37,16,0.73,5.688666666666666,26.5,1.255077736224563
soil,Tylosin,macrolides,29,15,0.48,4.8694117647058786,3170.0,1.1125921444593514
soil,Sulfadimethoxine,sulfonamides,26,13,0.54,1.46,4.9,1.0241877617712207
soil,Erythromycin,macrolides,24,14,0.1585,4.1899999999999995,13.636,0.9888700913051264
