sample_type,matrix,province,location,antibiotic,group_of_antibiotic,mean_concentration,max_concentration,concentration_unit,sample_year,season,full_reference_name,place_in_article_data_extracted_from,reference_number,source_dataset,article_link,manually_curated
municipal wastewater influent,wastewater influent,Guangdong,Plant A WWTP (South China; A2/O),Sulfamethazine,sulfonamides,19.3,,ng/L,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A Nov Influent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater effluent,wastewater effluent,Guangdong,Plant A WWTP (South China; A2/O),Sulfamethazine,sulfonamides,7.3,,ng/L,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A Nov Final effluent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater influent,wastewater influent,Guangdong,Plant A WWTP (South China; A2/O),Sulfamethoxazole,sulfonamides,543.0,,ng/L,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A May Influent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater effluent,wastewater effluent,Guangdong,Plant A WWTP (South China; A2/O),Sulfamethoxazole,sulfonamides,86.8,,ng/L,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A May Final effluent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater influent,wastewater influent,Guangdong,Plant A WWTP (South China; A2/O),Sulfamethoxazole,sulfonamides,405.0,,ng/L,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A Nov Influent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater effluent,wastewater effluent,Guangdong,Plant A WWTP (South China; A2/O),Sulfamethoxazole,sulfonamides,106.0,,ng/L,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A Nov Final effluent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater influent,wastewater influent,Guangdong,Plant A WWTP (South China; A2/O),Sulfamonomethoxine,sulfonamides,9.48,,ng/L,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A May Influent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater influent,wastewater influent,Guangdong,Plant A WWTP (South China; A2/O),Sulfamonomethoxine,sulfonamides,5.6,,ng/L,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A Nov Influent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater influent,wastewater influent,Guangdong,Plant A WWTP (South China; A2/O),Sulfapyridine,sulfonamides,121.0,,ng/L,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A May Influent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater effluent,wastewater effluent,Guangdong,Plant A WWTP (South China; A2/O),Sulfapyridine,sulfonamides,7.88,,ng/L,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A May Final effluent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater influent,wastewater influent,Guangdong,Plant A WWTP (South China; A2/O),Sulfapyridine,sulfonamides,39.6,,ng/L,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A Nov Influent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater effluent,wastewater effluent,Guangdong,Plant A WWTP (South China; A2/O),Sulfapyridine,sulfonamides,16.3,,ng/L,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A Nov Final effluent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater influent,wastewater influent,Guangdong,Plant A WWTP (South China; A2/O),Trimethoprim,sulfonamides,145.0,,ng/L,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A May Influent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater effluent,wastewater effluent,Guangdong,Plant A WWTP (South China; A2/O),Trimethoprim,sulfonamides,52.4,,ng/L,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A May Final effluent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater influent,wastewater influent,Guangdong,Plant A WWTP (South China; A2/O),Trimethoprim,sulfonamides,162.0,,ng/L,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A Nov Influent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater effluent,wastewater effluent,Guangdong,Plant A WWTP (South China; A2/O),Trimethoprim,sulfonamides,64.0,,ng/L,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A Nov Final effluent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater influent,wastewater influent,Guangdong,Plant A WWTP (South China; A2/O),Chlortetracycline,tetracyclines,35.7,,ng/L,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A May Influent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater influent,wastewater influent,Guangdong,Plant A WWTP (South China; A2/O),Chlortetracycline,tetracyclines,7.46,,ng/L,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A Nov Influent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater influent,wastewater influent,Guangdong,Plant A WWTP (South China; A2/O),Oxytetracycline,tetracyclines,560.0,,ng/L,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A May Influent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater effluent,wastewater effluent,Guangdong,Plant A WWTP (South China; A2/O),Oxytetracycline,tetracyclines,11.9,,ng/L,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A May Final effluent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater influent,wastewater influent,Guangdong,Plant A WWTP (South China; A2/O),Oxytetracycline,tetracyclines,230.0,,ng/L,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A Nov Influent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater effluent,wastewater effluent,Guangdong,Plant A WWTP (South China; A2/O),Oxytetracycline,tetracyclines,10.8,,ng/L,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A Nov Final effluent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater influent,wastewater influent,Guangdong,Plant A WWTP (South China; A2/O),Tetracycline,tetracyclines,316.0,,ng/L,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A May Influent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater effluent,wastewater effluent,Guangdong,Plant A WWTP (South China; A2/O),Tetracycline,tetracyclines,35.1,,ng/L,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A May Final effluent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater influent,wastewater influent,Guangdong,Plant A WWTP (South China; A2/O),Tetracycline,tetracyclines,167.0,,ng/L,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A Nov Influent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater effluent,wastewater effluent,Guangdong,Plant A WWTP (South China; A2/O),Tetracycline,tetracyclines,10.3,,ng/L,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A Nov Final effluent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater influent,wastewater influent,Guangdong,Plant A WWTP (South China; A2/O),Ciprofloxacin,fluoroquinolones,61.1,,ng/L,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A May Influent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater effluent,wastewater effluent,Guangdong,Plant A WWTP (South China; A2/O),Ciprofloxacin,fluoroquinolones,8.22,,ng/L,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A May Final effluent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater influent,wastewater influent,Guangdong,Plant A WWTP (South China; A2/O),Ciprofloxacin,fluoroquinolones,74.8,,ng/L,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A Nov Influent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater effluent,wastewater effluent,Guangdong,Plant A WWTP (South China; A2/O),Ciprofloxacin,fluoroquinolones,7.2,,ng/L,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A Nov Final effluent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal wastewater influent,wastewater influent,Guangdong,Plant A WWTP (South China; A2/O),Fleroxacin,fluoroquinolones,4.58,,ng/L,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S6 Plant A May Influent,N_ZHOU2013_SC_WWTP,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S6–S7,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
